행정동명,유치원 수
포곡읍,7
포승읍,7
포천동,3
풍덕천1동,7
풍덕천2동,5
풍무동,11
풍산동,6
하대원동,2
하성면,2
하안1동,5
하안2동,3
하안3동,3
하안4동,4
학온동,3
해양동,4
행궁동,2
행신1동,4
행신2동,9
행신3동,3
행신4동,5
행주동,3
향남읍,16
현덕면,3
호계2동,2
호계3동,2
호매실동,5
호법면,3
호수동,8
호원1동,5
호원2동,5
호평동,10
화도읍,19
화산동,4
화서1동,2
화서2동,4
화전동,4
화정1동,5
화정2동,4
회천1동,1
회천2동,5
회천3동,6
회천4동,8
효자동,3
흥도동,5
흥선동,3
흥천면,2
